diagnostic_case,scenario_name,intermittent_probability_requested,intermittent_event_penalty_db,throughput_mbps,app_packet_loss_ratio,zero_throughput_flag,full_loss_flag,intermittent_event_rate_actual,diagnostic_status,interpretation,diagnostic_scope,excluded_from_formal_32summary,source_file,source_row_number,evidence_status
S1_anchor,Short LoS anchor,0,0,108.832,0.130845898288,false,false,0,normal,S1 anchor is nonzero and non-outage.,SL-6-320 unsupported_or_unstable diagnostic summary,true,results/wifi7_sl_6g_320_s2_outage_diagnosis_pilot_summary.csv,2,diagnostic_not_formal_main_result
S2_no_obstruction,S2 no obstruction,0,0,0,1,true,true,0,outage,Zero throughput observed.,SL-6-320 unsupported_or_unstable diagnostic summary,true,results/wifi7_sl_6g_320_s2_outage_diagnosis_pilot_summary.csv,3,diagnostic_not_formal_main_result
S2_very_light_obstruction,S2 very light obstruction,0.1,3,0,1,true,true,0.0955223880597,outage,Zero throughput observed.,SL-6-320 unsupported_or_unstable diagnostic summary,true,results/wifi7_sl_6g_320_s2_outage_diagnosis_pilot_summary.csv,4,diagnostic_not_formal_main_result
S2_light_obstruction,S2 light obstruction,0.1,5,0,1,true,true,0.122388059701,outage,Zero throughput observed.,SL-6-320 unsupported_or_unstable diagnostic summary,true,results/wifi7_sl_6g_320_s2_outage_diagnosis_pilot_summary.csv,5,diagnostic_not_formal_main_result
S2_medium_light_obstruction,S2 medium-light obstruction,0.2,5,0,1,true,true,0.188059701493,outage,Zero throughput observed.,SL-6-320 unsupported_or_unstable diagnostic summary,true,results/wifi7_sl_6g_320_s2_outage_diagnosis_pilot_summary.csv,6,diagnostic_not_formal_main_result
S2_current_rule,S2 current calibrated rule,0.2,7.5,0,1,true,true,0.161194029851,outage,Zero throughput observed.,SL-6-320 unsupported_or_unstable diagnostic summary,true,results/wifi7_sl_6g_320_s2_outage_diagnosis_pilot_summary.csv,7,diagnostic_not_formal_main_result
S2_stronger_rule,S2 stronger obstruction,0.3,7.5,0,1,true,true,0.283582089552,outage,Zero throughput observed.,SL-6-320 unsupported_or_unstable diagnostic summary,true,results/wifi7_sl_6g_320_s2_outage_diagnosis_pilot_summary.csv,8,diagnostic_not_formal_main_result
